City{name=Jiaxing, country=China, district=Zhejiang, population=211526}
City{name=Wuzhou, country=China, district=Guangxi, population=210452}
City{name=Meihekou, country=China, district=Jilin, population=209038}
City{name=Xuchang, country=China, district=Henan, population=208815}
City{name=Liaocheng, country=China, district=Shandong, population=207844}
City{name=Haicheng, country=China, district=Liaoning, population=205560}
City{name=Qianjiang, country=China, district=Hubei, population=205504}
City{name=Baiyin, country=China, district=Gansu, population=204970}
City{name=Bei´an, country=China, district=Heilongjiang, population=204899}
City{name=Yixing, country=China, district=Jiangsu, population=200824}
City{name=Laizhou, country=China, district=Shandong, population=198664}
City{name=Qaramay, country=China, district=Xinxiang, population=197602}
City{name=Acheng, country=China, district=Heilongjiang, population=197595}
City{name=Dezhou, country=China, district=Shandong, population=195485}
City{name=Nanping, country=China, district=Fujian, population=195064}
City{name=Zhaoqing, country=China, district=Guangdong, population=194784}
City{name=Beipiao, country=China, district=Liaoning, population=194301}
City{name=Fengcheng, country=China, district=Jiangxi, population=193784}
City{name=Fuyu, country=China, district=Jilin, population=192981}
City{name=Xinyang, country=China, district=Henan, population=192509}
City{name=Dongtai, country=China, district=Jiangsu, population=192247}
City{name=Yuci, country=China, district=Shanxi, population=191356}
City{name=Honghu, country=China, district=Hubei, population=190772}
City{name=Ezhou, country=China, district=Hubei, population=190123}
City{name=Heze, country=China, district=Shandong, population=189293}
City{name=Daxian, country=China, district=Sichuan, population=188101}
City{name=Linfen, country=China, district=Shanxi, population=187309}
City{name=Tianmen, country=China, district=Hubei, population=186332}
City{name=Yiyang, country=China, district=Hunan, population=185818}
City{name=Quanzhou, country=China, district=Fujian, population=185154}
City{name=Rizhao, country=China, district=Shandong, population=185048}
City{name=Deyang, country=China, district=Sichuan, population=182488}
City{name=Guangyuan, country=China, district=Sichuan, population=182241}
City{name=Changshu, country=China, district=Jiangsu, population=181805}
City{name=Zhangzhou, country=China, district=Fujian, population=181424}
City{name=Hailar, country=China, district=Inner Mongolia, population=180650}
City{name=Nanchong, country=China, district=Sichuan, population=180273}
City{name=Jiutai, country=China, district=Jilin, population=180130}
City{name=Zhaodong, country=China, district=Heilongjiang, population=179976}
City{name=Shaoxing, country=China, district=Zhejiang, population=179818}
City{name=Fuyang, country=China, district=Anhui, population=179572}
City{name=Maoming, country=China, district=Guangdong, population=178683}
City{name=Qujing, country=China, district=Yunnan, population=178669}
City{name=Ghulja, country=China, district=Xinxiang, population=177193}
City{name=Jiaohe, country=China, district=Jilin, population=176367}
City{name=Puyang, country=China, district=Henan, population=175988}
City{name=Huadian, country=China, district=Jilin, population=175873}
City{name=Jiangyou, country=China, district=Sichuan, population=175753}
City{name=Qashqar, country=China, district=Xinxiang, population=174570}
City{name=Anshun, country=China, district=Guizhou, population=174142}
City{name=Fuling, country=China, district=Sichuan, population=173878}
City{name=Xinyu, country=China, district=Jiangxi, population=173524}
City{name=Hanzhong, country=China, district=Shaanxi, population=169930}
City{name=Danyang, country=China, district=Jiangsu, population=169603}
City{name=Chenzhou, country=China, district=Hunan, population=169400}
City{name=Xiaogan, country=China, district=Hubei, population=166280}
City{name=Shangqiu, country=China, district=Henan, population=164880}
City{name=Zhuhai, country=China, district=Guangdong, population=164747}
City{name=Qingyuan, country=China, district=Guangdong, population=164641}
City{name=Aqsu, country=China, district=Xinxiang, population=164092}
City{name=Jining, country=China, district=Inner Mongolia, population=163552}
City{name=Xiaoshan, country=China, district=Zhejiang, population=162930}
