City{name=Odintsovo, country=Russian Federation, district=Moskova, population=127400}
City{name=Orehovo-Zujevo, country=Russian Federation, district=Moskova, population=124900}
City{name=Kamyšin, country=Russian Federation, district=Volgograd, population=124600}
City{name=Novotšeboksarsk, country=Russian Federation, district=Tšuvassia, population=123400}
City{name=Tšerkessk, country=Russian Federation, district=Karatšai-Tšerkessia, population=121700}
City{name=Atšinsk, country=Russian Federation, district=Krasnojarsk, population=121600}
City{name=Magadan, country=Russian Federation, district=Magadan, population=121000}
City{name=Mitšurinsk, country=Russian Federation, district=Tambov, population=120700}
City{name=Kislovodsk, country=Russian Federation, district=Stavropol, population=120400}
City{name=Jelets, country=Russian Federation, district=Lipetsk, population=119400}
City{name=Seversk, country=Russian Federation, district=Tomsk, population=118600}
City{name=Noginsk, country=Russian Federation, district=Moskova, population=117200}
City{name=Velikije Luki, country=Russian Federation, district=Pihkova, population=116300}
City{name=Novokuibyševsk, country=Russian Federation, district=Samara, population=116200}
City{name=Neftekamsk, country=Russian Federation, district=Baškortostan, population=115700}
City{name=Leninsk-Kuznetski, country=Russian Federation, district=Kemerovo, population=113800}
City{name=Oktjabrski, country=Russian Federation, district=Baškortostan, population=111500}
City{name=Sergijev Posad, country=Russian Federation, district=Moskova, population=111100}
City{name=Arzamas, country=Russian Federation, district=Nizni Novgorod, population=110700}
City{name=Kiseljovsk, country=Russian Federation, district=Kemerovo, population=110000}
City{name=Novotroitsk, country=Russian Federation, district=Orenburg, population=109600}
City{name=Obninsk, country=Russian Federation, district=Kaluga, population=108300}
City{name=Kansk, country=Russian Federation, district=Krasnojarsk, population=107400}
City{name=Glazov, country=Russian Federation, district=Udmurtia, population=106300}
City{name=Solikamsk, country=Russian Federation, district=Perm, population=106000}
City{name=Sarapul, country=Russian Federation, district=Udmurtia, population=105700}
City{name=Ust-Ilimsk, country=Russian Federation, district=Irkutsk, population=105200}
City{name=Štšolkovo, country=Russian Federation, district=Moskova, population=104900}
City{name=Mezduretšensk, country=Russian Federation, district=Kemerovo, population=104400}
City{name=Usolje-Sibirskoje, country=Russian Federation, district=Irkutsk, population=103500}
City{name=Elista, country=Russian Federation, district=Kalmykia, population=103300}
City{name=Novošahtinsk, country=Russian Federation, district=Rostov-na-Donu, population=101900}
City{name=Votkinsk, country=Russian Federation, district=Udmurtia, population=101700}
City{name=Kyzyl, country=Russian Federation, district=Tyva, population=101100}
City{name=Serov, country=Russian Federation, district=Sverdlovsk, population=100400}
City{name=Zelenodolsk, country=Russian Federation, district=Tatarstan, population=100200}
City{name=Zeleznodoroznyi, country=Russian Federation, district=Moskova, population=100100}
City{name=Kinešma, country=Russian Federation, district=Ivanovo, population=100000}
City{name=Kuznetsk, country=Russian Federation, district=Penza, population=98200}
City{name=Uhta, country=Russian Federation, district=Komi, population=98000}
City{name=Jessentuki, country=Russian Federation, district=Stavropol, population=97900}
City{name=Tobolsk, country=Russian Federation, district=Tjumen, population=97600}
City{name=Neftejugansk, country=Russian Federation, district=Hanti-Mansia, population=97400}
City{name=Bataisk, country=Russian Federation, district=Rostov-na-Donu, population=97300}
City{name=Nojabrsk, country=Russian Federation, district=Yamalin Nenetsia, population=97300}
City{name=Balašov, country=Russian Federation, district=Saratov, population=97100}
City{name=Zeleznogorsk, country=Russian Federation, district=Kursk, population=96900}
City{name=Zukovski, country=Russian Federation, district=Moskova, population=96500}
City{name=Anzero-Sudzensk, country=Russian Federation, district=Kemerovo, population=96100}
City{name=Bugulma, country=Russian Federation, district=Tatarstan, population=94100}
City{name=Zeleznogorsk, country=Russian Federation, district=Krasnojarsk, population=94000}
City{name=Novouralsk, country=Russian Federation, district=Sverdlovsk, population=93300}
City{name=Puškin, country=Russian Federation, district=Pietari, population=92900}
City{name=Vorkuta, country=Russian Federation, district=Komi, population=92600}
City{name=Derbent, country=Russian Federation, district=Dagestan, population=92300}
City{name=Kirovo-Tšepetsk, country=Russian Federation, district=Kirov, population=91600}
City{name=Krasnogorsk, country=Russian Federation, district=Moskova, population=91000}
City{name=Klin, country=Russian Federation, district=Moskova, population=90000}
City{name=Tšaikovski, country=Russian Federation, district=Perm, population=90000}
City{name=Novyi Urengoi, country=Russian Federation, district=Yamalin Nenetsia, population=89800}
