City{name=Nagareyama, country=Japan, district=Chiba, population=147738}
City{name=Tottori, country=Japan, district=Tottori, population=147523}
City{name=Tama, country=Japan, district=Ibaragi, population=146712}
City{name=Iruma, country=Japan, district=Saitama, population=145922}
City{name=Ota, country=Japan, district=Gumma, population=145317}
City{name=Omuta, country=Japan, district=Fukuoka, population=142889}
City{name=Komaki, country=Japan, district=Aichi, population=139827}
City{name=Ome, country=Japan, district=Tokyo-to, population=139216}
City{name=Kadoma, country=Japan, district=Osaka, population=138953}
City{name=Yamaguchi, country=Japan, district=Yamaguchi, population=138210}
City{name=Higashimurayama, country=Japan, district=Tokyo-to, population=136970}
City{name=Yonago, country=Japan, district=Tottori, population=136461}
City{name=Matsubara, country=Japan, district=Osaka, population=135010}
City{name=Musashino, country=Japan, district=Tokyo-to, population=134426}
City{name=Tsuchiura, country=Japan, district=Ibaragi, population=134072}
City{name=Joetsu, country=Japan, district=Niigata, population=133505}
City{name=Miyakonojo, country=Japan, district=Miyazaki, population=133183}
City{name=Misato, country=Japan, district=Saitama, population=132957}
City{name=Kakamigahara, country=Japan, district=Gifu, population=131831}
City{name=Daito, country=Japan, district=Osaka, population=130594}
City{name=Seto, country=Japan, district=Aichi, population=130470}
City{name=Kariya, country=Japan, district=Aichi, population=127969}
City{name=Urayasu, country=Japan, district=Chiba, population=127550}
City{name=Beppu, country=Japan, district=Oita, population=127486}
City{name=Niihama, country=Japan, district=Ehime, population=127207}
City{name=Minoo, country=Japan, district=Osaka, population=127026}
City{name=Fujieda, country=Japan, district=Shizuoka, population=126897}
City{name=Abiko, country=Japan, district=Chiba, population=126670}
City{name=Nobeoka, country=Japan, district=Miyazaki, population=125547}
City{name=Tondabayashi, country=Japan, district=Osaka, population=125094}
City{name=Ueda, country=Japan, district=Nagano, population=124217}
City{name=Kashihara, country=Japan, district=Nara, population=124013}
City{name=Matsusaka, country=Japan, district=Mie, population=123582}
City{name=Isesaki, country=Japan, district=Gumma, population=123285}
City{name=Zama, country=Japan, district=Kanagawa, population=122046}
City{name=Kisarazu, country=Japan, district=Chiba, population=121967}
City{name=Noda, country=Japan, district=Chiba, population=121030}
City{name=Ishinomaki, country=Japan, district=Miyagi, population=120963}
City{name=Fujinomiya, country=Japan, district=Shizuoka, population=119714}
City{name=Kawachinagano, country=Japan, district=Osaka, population=119666}
City{name=Imabari, country=Japan, district=Ehime, population=119357}
City{name=Aizuwakamatsu, country=Japan, district=Fukushima, population=119287}
City{name=Higashihiroshima, country=Japan, district=Hiroshima, population=119166}
City{name=Habikino, country=Japan, district=Osaka, population=118968}
City{name=Ebetsu, country=Japan, district=Hokkaido, population=118805}
City{name=Hofu, country=Japan, district=Yamaguchi, population=118751}
City{name=Kiryu, country=Japan, district=Gumma, population=118326}
City{name=Okinawa, country=Japan, district=Okinawa, population=117748}
City{name=Yaizu, country=Japan, district=Shizuoka, population=117258}
City{name=Toyokawa, country=Japan, district=Aichi, population=115781}
