City{name=Raurkela Civil Township, country=India, district=Orissa, population=140408}
City{name=Kollam (Quilon), country=India, district=Kerala, population=139852}
City{name=Kumbakonam, country=India, district=Tamil Nadu, population=139483}
City{name=Ingraj Bazar (English Bazar), country=India, district=West Bengali, population=139204}
City{name=Timkur, country=India, district=Karnataka, population=138903}
City{name=Amroha, country=India, district=Uttar Pradesh, population=137061}
City{name=Serampore, country=India, district=West Bengali, population=137028}
City{name=Chapra, country=India, district=Bihar, population=136877}
City{name=Pali, country=India, district=Rajasthan, population=136842}
City{name=Maunath Bhanjan, country=India, district=Uttar Pradesh, population=136697}
City{name=Adoni, country=India, district=Andhra Pradesh, population=136182}
City{name=Jaunpur, country=India, district=Uttar Pradesh, population=136062}
City{name=Tirunelveli, country=India, district=Tamil Nadu, population=135825}
City{name=Bahraich, country=India, district=Uttar Pradesh, population=135400}
City{name=Gadag Betigeri, country=India, district=Karnataka, population=134051}
City{name=Proddatur, country=India, district=Andhra Pradesh, population=133914}
City{name=Chittoor, country=India, district=Andhra Pradesh, population=133462}
City{name=Barrackpur, country=India, district=West Bengali, population=133265}
City{name=Bharuch (Broach), country=India, district=Gujarat, population=133102}
City{name=Naihati, country=India, district=West Bengali, population=132701}
City{name=Shillong, country=India, district=Meghalaya, population=131719}
City{name=Sambalpur, country=India, district=Orissa, population=131138}
City{name=Junagadh, country=India, district=Gujarat, population=130484}
City{name=Rae Bareli, country=India, district=Uttar Pradesh, population=129904}
City{name=Rewa, country=India, district=Madhya Pradesh, population=128981}
City{name=Gurgaon, country=India, district=Haryana, population=128608}
City{name=Khammam, country=India, district=Andhra Pradesh, population=127992}
City{name=Bulandshahr, country=India, district=Uttar Pradesh, population=127201}
City{name=Navsari, country=India, district=Gujarat, population=126089}
City{name=Malkajgiri, country=India, district=Andhra Pradesh, population=126066}
City{name=Midnapore (Medinipur), country=India, district=West Bengali, population=125498}
City{name=Miraj, country=India, district=Maharashtra, population=125407}
City{name=Raj Nandgaon, country=India, district=Chhatisgarh, population=125371}
City{name=Alandur, country=India, district=Tamil Nadu, population=125244}
City{name=Puri, country=India, district=Orissa, population=125199}
City{name=Navadwip, country=India, district=West Bengali, population=125037}
City{name=Sirsa, country=India, district=Haryana, population=125000}
City{name=Korba, country=India, district=Chhatisgarh, population=124501}
City{name=Faizabad, country=India, district=Uttar Pradesh, population=124437}
City{name=Etawah, country=India, district=Uttar Pradesh, population=124072}
City{name=Pathankot, country=India, district=Punjab, population=123930}
City{name=Gandhinagar, country=India, district=Gujarat, population=123359}
City{name=Palghat (Palakkad), country=India, district=Kerala, population=123289}
City{name=Veraval, country=India, district=Gujarat, population=123000}
City{name=Hoshiarpur, country=India, district=Punjab, population=122705}
City{name=Ambala, country=India, district=Haryana, population=122596}
City{name=Sitapur, country=India, district=Uttar Pradesh, population=121842}
City{name=Bhiwani, country=India, district=Haryana, population=121629}
City{name=Cuddapah, country=India, district=Andhra Pradesh, population=121463}
City{name=Bhimavaram, country=India, district=Andhra Pradesh, population=121314}
