City{name=Obeid, country=Sudan, district=Kurdufan al-Shamaliy, population=229425}
City{name=Benin City, country=Nigeria, district=Edo & Delta, population=229400}
City{name=Nyala, country=Sudan, district=Darfur al-Janubiya, population=227183}
City{name=Newcastle, country=South Africa, district=KwaZulu-Natal, population=222993}
City{name=Annaba, country=Algeria, district=Annaba, population=222518}
City{name=East London, country=South Africa, district=Eastern Cape, population=221047}
City{name=Assuan, country=Egypt, district=Assuan, population=219017}
City{name=Iseyin, country=Nigeria, district=Oyo & Osun, population=217300}
City{name=Gaborone, country=Botswana, district=Gaborone, population=213017}
City{name=Damanhur, country=Egypt, district=al-Buhayra, population=212203}
City{name=Wad Madani, country=Sudan, district=al-Jazira, population=211362}
City{name=Katsina, country=Nigeria, district=Katsina, population=206500}
City{name=Jos, country=Nigeria, district=Plateau & Nassarawa, population=206300}
City{name=Sokoto, country=Nigeria, district=Sokoto & Kebbi & Zam, population=204900}
City{name=Welkom, country=South Africa, district=Free State, population=203296}
City{name=Bukavu, country=Congo, The Democratic Republic of the, district=South Kivu, population=201569}
City{name=al-Minya, country=Egypt, district=al-Minya, population=201360}
City{name=Ilobu, country=Nigeria, district=Oyo & Osun, population=199000}
City{name=Kaolack, country=Senegal, district=Kaolack, population=199000}
City{name=Kimberley, country=South Africa, district=Northern Cape, population=197254}
City{name=Offa, country=Nigeria, district=Kwara & Kogi, population=197200}
City{name=Ariana, country=Tunisia, district=Ariana, population=197000}
City{name=Porto-Novo, country=Benin, district=Ouémé, population=194000}
City{name=Kisumu, country=Kenya, district=Nyanza, population=192733}
City{name=Uitenhage, country=South Africa, district=Eastern Cape, population=192120}
City{name=Ziguinchor, country=Senegal, district=Ziguinchor, population=192000}
City{name=al-Qadarif, country=Sudan, district=al-Qadarif, population=191164}
City{name=Chatsworth, country=South Africa, district=KwaZulu-Natal, population=189885}
City{name=Dodoma, country=Tanzania, district=Dodoma, population=189000}
City{name=Ikorodu, country=Nigeria, district=Lagos, population=184900}
City{name=Ilawe-Ekiti, country=Nigeria, district=Ondo & Ekiti, population=184500}
City{name=Owo, country=Nigeria, district=Ondo & Ekiti, population=183500}
City{name=Batna, country=Algeria, district=Batna, population=183377}
City{name=Mdantsane, country=South Africa, district=Eastern Cape, population=182639}
City{name=Kikwit, country=Congo, The Democratic Republic of the, district=Bandundu, population=182142}
City{name=Krugersdorp, country=South Africa, district=Gauteng, population=181503}
City{name=Ikirun, country=Nigeria, district=Oyo & Osun, population=181400}
City{name=Tshikapa, country=Congo, The Democratic Republic of the, district=West Kasai, population=180860}
City{name=Sétif, country=Algeria, district=Sétif, population=179055}
City{name=Ettadhamen, country=Tunisia, district=Ariana, population=178600}
City{name=Botshabelo, country=South Africa, district=Free State, population=177971}
City{name=Garoua, country=Cameroon, district=Nord, population=177000}
City{name=Shaki, country=Nigeria, district=Oyo & Osun, population=174500}
City{name=Calabar, country=Nigeria, district=Cross River, population=174400}
City{name=Ondo, country=Nigeria, district=Ondo & Ekiti, population=173600}
City{name=Kusti, country=Sudan, district=al-Bahr al-Abyad, population=173599}
City{name=Matadi, country=Congo, The Democratic Republic of the, district=Bas-Zaïre, population=172730}
City{name=Mwanza, country=Tanzania, district=Mwanza, population=172300}
City{name=Bani Suwayf, country=Egypt, district=Bani Suwayf, population=172032}
City{name=Brakpan, country=South Africa, district=Gauteng, population=171363}
City{name=Qina, country=Egypt, district=Qina, population=171275}
City{name=Chimoio, country=Mozambique, district=Manica, population=171056}
City{name=Sawhaj, country=Egypt, district=Sawhaj, population=170125}
City{name=Mbandaka, country=Congo, The Democratic Republic of the, district=Equateur, population=169841}
City{name=El-Aaiún, country=Western Sahara, district=El-Aaiún, population=169000}
City{name=Windhoek, country=Namibia, district=Khomas, population=169000}
City{name=Witbank, country=South Africa, district=Mpumalanga, population=167183}
City{name=Dire Dawa, country=Ethiopia, district=Dire Dawa, population=164851}
City{name=Oberholzer, country=South Africa, district=Gauteng, population=164367}
City{name=Mount Darwin, country=Zimbabwe, district=Harare, population=164362}
City{name=Germiston, country=South Africa, district=Gauteng, population=164252}
City{name=Nakuru, country=Kenya, district=Rift Valley, population=163927}
City{name=Huambo, country=Angola, district=Huambo, population=163100}
City{name=Akure, country=Nigeria, district=Ondo & Ekiti, population=162300}
City{name=Springs, country=South Africa, district=Gauteng, population=162072}
City{name=Shibin al-Kawm, country=Egypt, district=al-Minufiya, population=159909}
City{name=Westonaria, country=South Africa, district=Gauteng, population=159632}
City{name=Naçala-Porto, country=Mozambique, district=Nampula, population=158248}
City{name=Gusau, country=Nigeria, district=Sokoto & Kebbi & Zam, population=158000}
City{name=Zanzibar, country=Tanzania, district=Zanzibar West, population=157634}
City{name=Ijebu-Ode, country=Nigeria, district=Ogun, population=156400}
City{name=Agadir, country=Morocco, district=Souss Massa-Draâ, population=155244}
City{name=Mohammedia, country=Morocco, district=Casablanca, population=154706}
City{name=Kabwe, country=Zambia, district=Central, population=154300}
City{name=Sidi Bel Abbès, country=Algeria, district=Sidi Bel Abbès, population=153106}
City{name=Effon-Alaiye, country=Nigeria, district=Oyo & Osun, population=153100}
City{name=Khouribga, country=Morocco, district=Chaouia-Ouardigha, population=152090}
City{name=Tamale, country=Ghana, district=Northern, population=151069}
City{name=Quelimane, country=Mozambique, district=Zambézia, population=150116}
City{name=Rufisque, country=Senegal, district=Cap-Vert, population=150000}
