City{name=São Caetano do Sul, country=Brazil, district=São Paulo, population=133321}
City{name=Valdivia, country=Chile, district=Los Lagos, population=133106}
City{name=Itu, country=Brazil, district=São Paulo, population=132736}
City{name=Nossa Senhora do Socorro, country=Brazil, district=Sergipe, population=131351}
City{name=Guacara, country=Venezuela, district=Carabobo, population=131334}
City{name=Ibarra, country=Ecuador, district=Imbabura, population=130643}
City{name=Valera, country=Venezuela, district=Trujillo, population=130281}
City{name=Parnaíba, country=Brazil, district=Piauí, population=129756}
City{name=Huánuco, country=Peru, district=Huanuco, population=129688}
City{name=Poços de Caldas, country=Brazil, district=Minas Gerais, population=129683}
City{name=Quevedo, country=Ecuador, district=Los Ríos, population=129631}
City{name=Teresópolis, country=Brazil, district=Rio de Janeiro, population=128079}
City{name=Barreiras, country=Brazil, district=Bahia, population=127801}
City{name=Castanhal, country=Brazil, district=Pará, population=127634}
City{name=Alagoinhas, country=Brazil, district=Bahia, population=126820}
City{name=Itapecerica da Serra, country=Brazil, district=São Paulo, population=126672}
City{name=Uruguaiana, country=Brazil, district=Rio Grande do Sul, population=126305}
City{name=Paranaguá, country=Brazil, district=Paraná, population=126076}
City{name=Ibirité, country=Brazil, district=Minas Gerais, population=125982}
City{name=Cartago, country=Colombia, district=Valle, population=125884}
City{name=Timon, country=Brazil, district=Maranhão, population=125812}
City{name=Punta Arenas, country=Chile, district=Magallanes, population=125631}
City{name=Guanare, country=Venezuela, district=Portuguesa, population=125621}
City{name=Luziânia, country=Brazil, district=Goiás, population=125597}
City{name=Macaé, country=Brazil, district=Rio de Janeiro, population=125597}
City{name=Tarija, country=Bolivia, district=Tarija, population=125255}
City{name=Teófilo Otoni, country=Brazil, district=Minas Gerais, population=124489}
City{name=Milagro, country=Ecuador, district=Guayas, population=124177}
City{name=Comodoro Rivadavia, country=Argentina, district=Chubut, population=124104}
City{name=Loja, country=Ecuador, district=Loja, population=123875}
City{name=Moji-Guaçu, country=Brazil, district=São Paulo, population=123782}
City{name=Ríobamba, country=Ecuador, district=Chimborazo, population=123163}
City{name=Esmeraldas, country=Ecuador, district=Esmeraldas, population=123045}
City{name=Mendoza, country=Argentina, district=Mendoza, population=123027}
City{name=Palmas, country=Brazil, district=Tocantins, population=121919}
City{name=Pindamonhangaba, country=Brazil, district=São Paulo, population=121904}
City{name=Francisco Morato, country=Brazil, district=São Paulo, population=121197}
City{name=Bagé, country=Brazil, district=Rio Grande do Sul, population=120793}
City{name=Sapucaia do Sul, country=Brazil, district=Rio Grande do Sul, population=120217}
City{name=Copiapó, country=Chile, district=Atacama, population=120128}
City{name=Carúpano, country=Venezuela, district=Sucre, population=119639}
City{name=Cabo Frio, country=Brazil, district=Rio de Janeiro, population=119503}
City{name=Itapetininga, country=Brazil, district=São Paulo, population=119391}
City{name=San Nicolás de los Arroyos, country=Argentina, district=Buenos Aires, population=119302}
City{name=Patos de Minas, country=Brazil, district=Minas Gerais, population=119262}
City{name=San Juan, country=Argentina, district=San Juan, population=119152}
City{name=Camaragibe, country=Brazil, district=Pernambuco, population=118968}
City{name=Ayacucho, country=Peru, district=Ayacucho, population=118960}
City{name=Quilpué, country=Chile, district=Valparaíso, population=118857}
City{name=Catia La Mar, country=Venezuela, district=Distrito Federal, population=117012}
City{name=Bragança Paulista, country=Brazil, district=São Paulo, population=116929}
City{name=Escobar, country=Argentina, district=Buenos Aires, population=116675}
City{name=Concordia, country=Argentina, district=Entre Rios, population=116485}
City{name=El Tigre, country=Venezuela, district=Anzoátegui, population=116256}
City{name=Curicó, country=Chile, district=Maule, population=115766}
City{name=Queimados, country=Brazil, district=Rio de Janeiro, population=115020}
City{name=Araguaína, country=Brazil, district=Tocantins, population=114948}
City{name=Garanhuns, country=Brazil, district=Pernambuco, population=114603}
City{name=Vitória de Santo Antão, country=Brazil, district=Pernambuco, population=113595}
City{name=Pilar, country=Argentina, district=Buenos Aires, population=113428}
City{name=Santa Rita, country=Brazil, district=Paraíba, population=113135}
City{name=Barbacena, country=Brazil, district=Minas Gerais, population=113079}
City{name=Paramaribo, country=Suriname, district=Paramaribo, population=112000}
City{name=Abaetetuba, country=Brazil, district=Pará, population=111258}
City{name=Girardot, country=Colombia, district=Cundinamarca, population=110963}
City{name=Buga, country=Colombia, district=Valle, population=110699}
City{name=San Luis, country=Argentina, district=San Luis, population=110136}
City{name=Chincha Alta, country=Peru, district=Ica, population=110016}
City{name=Jaú, country=Brazil, district=São Paulo, population=109965}
City{name=Tunja, country=Colombia, district=Boyacá, population=109740}
City{name=Lauro de Freitas, country=Brazil, district=Bahia, population=109236}
City{name=Guatire, country=Venezuela, district=Miranda, population=109121}
City{name=Franco da Rocha, country=Brazil, district=São Paulo, population=108964}
City{name=Florencia, country=Colombia, district=Caquetá, population=108574}
City{name=Teixeira de Freitas, country=Brazil, district=Bahia, population=108441}
City{name=Varginha, country=Brazil, district=Minas Gerais, population=108314}
City{name=Ribeirão Pires, country=Brazil, district=São Paulo, population=108121}
City{name=Maicao, country=Colombia, district=La Guajira, population=108053}
City{name=Cajamarca, country=Peru, district=Cajamarca, population=108009}
