City{name=Asahikawa, country=Japan, district=Hokkaido, population=364813}
City{name=Machida, country=Japan, district=Tokyo-to, population=364197}
City{name=Guilin, country=China, district=Guangxi, population=364130}
City{name=Liupanshui, country=China, district=Guizhou, population=363954}
City{name=Nara, country=Japan, district=Nara, population=362812}
City{name=Panjin, country=China, district=Liaoning, population=362773}
City{name=Yangquan, country=China, district=Shanxi, population=362268}
City{name=Hsinchu, country=Taiwan, district=Hsinchu, population=361958}
City{name=Takatsuki, country=Japan, district=Osaka, population=361747}
City{name=Iwaki, country=Japan, district=Fukushima, population=361737}
City{name=Nagano, country=Japan, district=Nagano, population=361391}
City{name=Toyohashi, country=Japan, district=Aichi, population=360066}
City{name=Jinxi, country=China, district=Liaoning, population=357052}
City{name=Liaoyuan, country=China, district=Jilin, population=354141}
City{name=Lianyungang, country=China, district=Jiangsu, population=354139}
City{name=Xianyang, country=China, district=Shaanxi, population=352125}
City{name=Kwangmyong, country=South Korea, district=Kyonggi, population=350914}
City{name=Tai´an, country=China, district=Shandong, population=350696}
City{name=Chifeng, country=China, district=Inner Mongolia, population=350077}
City{name=Shaoguan, country=China, district=Guangdong, population=350043}
City{name=Toyota, country=Japan, district=Aichi, population=346090}
City{name=Suita, country=Japan, district=Osaka, population=345750}
City{name=Nantong, country=China, district=Jiangsu, population=343341}
City{name=Leshan, country=China, district=Sichuan, population=341128}
City{name=Baoji, country=China, district=Shaanxi, population=337765}
City{name=Takamatsu, country=Japan, district=Kagawa, population=332471}
City{name=Koriyama, country=Japan, district=Fukushima, population=330335}
City{name=Chonan, country=South Korea, district=Chungchongnam, population=330259}
City{name=Chinju, country=South Korea, district=Kyongsangnam, population=329886}
City{name=Okazaki, country=Japan, district=Aichi, population=328711}
City{name=Kawagoe, country=Japan, district=Saitama, population=327211}
City{name=Sinuiju, country=North Korea, district=Pyongan P, population=326011}
City{name=Tokorozawa, country=Japan, district=Saitama, population=325809}
City{name=Toyama, country=Japan, district=Toyama, population=325790}
City{name=Linyi, country=China, district=Shandong, population=324720}
City{name=Kochi, country=Japan, district=Kochi, population=324710}
City{name=Tonghua, country=China, district=Jilin, population=324600}
City{name=Iksan, country=South Korea, district=Chollabuk, population=322685}
City{name=Kashiwa, country=Japan, district=Chiba, population=320296}
City{name=Chungli, country=Taiwan, district=Taoyuan, population=318649}
City{name=Fengshan, country=Taiwan, district=Kaohsiung, population=318562}
City{name=Siping, country=China, district=Jilin, population=317223}
City{name=Changzhi, country=China, district=Shanxi, population=317144}
City{name=Taoyuan, country=Taiwan, district=Taoyuan, population=316438}
City{name=Tengzhou, country=China, district=Shandong, population=315083}
City{name=Akita, country=Japan, district=Akita, population=314440}
City{name=Chaozhou, country=China, district=Guangdong, population=313469}
City{name=Pyongtaek, country=South Korea, district=Kyonggi, population=312927}
City{name=Yangzhou, country=China, district=Jiangsu, population=312892}
City{name=Kumi, country=South Korea, district=Kyongsangbuk, population=311431}
City{name=Dongwan, country=China, district=Guangdong, population=308669}
City{name=Ma´anshan, country=China, district=Anhui, population=305421}
City{name=Miyazaki, country=Japan, district=Miyazaki, population=303784}
City{name=Foshan, country=China, district=Guangdong, population=303160}
City{name=Yueyang, country=China, district=Hunan, population=302800}
City{name=Xingtai, country=China, district=Hebei, population=302789}
City{name=Koshigaya, country=Japan, district=Saitama, population=301446}
City{name=Changde, country=China, district=Hunan, population=301276}
City{name=Wonsan, country=North Korea, district=Kangwon, population=300148}
City{name=Naha, country=Japan, district=Okinawa, population=299851}
City{name=Shihezi, country=China, district=Xinxiang, population=299676}
City{name=Yancheng, country=China, district=Jiangsu, population=296831}
City{name=Aomori, country=Japan, district=Aomori, population=295969}
City{name=Hakodate, country=Japan, district=Hokkaido, population=294788}
City{name=Akashi, country=Japan, district=Hyogo, population=292253}
City{name=Jiujiang, country=China, district=Jiangxi, population=291187}
City{name=Yokkaichi, country=Japan, district=Mie, population=288173}
City{name=Fukushima, country=Japan, district=Fukushima, population=287525}
City{name=Morioka, country=Japan, district=Iwate, population=287353}
City{name=Maebashi, country=Japan, district=Gumma, population=284473}
City{name=Kasugai, country=Japan, district=Aichi, population=282348}
City{name=Otsu, country=Japan, district=Shiga, population=282070}
City{name=Dongying, country=China, district=Shandong, population=281728}
City{name=Shashi, country=China, district=Hubei, population=281352}
City{name=Xintai, country=China, district=Shandong, population=281248}
City{name=Jingdezhen, country=China, district=Jiangxi, population=281183}
City{name=Tongchuan, country=China, district=Shaanxi, population=280657}
City{name=Ichihara, country=Japan, district=Chiba, population=279280}
City{name=Zhongshan, country=China, district=Guangdong, population=278829}
City{name=Yao, country=Japan, district=Osaka, population=276421}
City{name=Uijongbu, country=South Korea, district=Kyonggi, population=276111}
City{name=Shiyan, country=China, district=Hubei, population=273786}
City{name=Kyongju, country=South Korea, district=Kyongsangbuk, population=272968}
City{name=Phyongsong, country=North Korea, district=Pyongan N, population=272934}
City{name=Ichinomiya, country=Japan, district=Aichi, population=270828}
City{name=Tokushima, country=Japan, district=Tokushima, population=269649}
City{name=Kunsan, country=South Korea, district=Chollabuk, population=266569}
City{name=Kakogawa, country=Japan, district=Hyogo, population=266281}
City{name=Tieli, country=China, district=Heilongjiang, population=265683}
City{name=Jining, country=China, district=Shandong, population=265248}
City{name=Chiayi, country=Taiwan, district=Chiayi, population=265109}
City{name=Wuhai, country=China, district=Inner Mongolia, population=264081}
City{name=Hsintien, country=Taiwan, district=Taipei, population=263603}
City{name=Mianyang, country=China, district=Sichuan, population=262947}
City{name=Luzhou, country=China, district=Sichuan, population=262892}
City{name=Zunyi, country=China, district=Guizhou, population=261862}
City{name=Ibaraki, country=Japan, district=Osaka, population=261020}
City{name=Cheju, country=South Korea, district=Cheju, population=258511}
City{name=Shizuishan, country=China, district=Ningxia, population=257862}
City{name=Neyagawa, country=Japan, district=Osaka, population=257315}
City{name=Shimonoseki, country=Japan, district=Yamaguchi, population=257263}
City{name=Kimhae, country=South Korea, district=Kyongsangnam, population=256370}
City{name=Neijiang, country=China, district=Sichuan, population=256012}
City{name=Yamagata, country=Japan, district=Yamagata, population=255617}
City{name=Tongliao, country=China, district=Inner Mongolia, population=255129}
City{name=Tieling, country=China, district=Liaoning, population=254842}
City{name=Fukui, country=Japan, district=Fukui, population=254818}
City{name=Hiratsuka, country=Japan, district=Kanagawa, population=254207}
City{name=Sariwon, country=North Korea, district=Hwanghae P, population=254146}
City{name=Wafangdian, country=China, district=Liaoning, population=251733}
City{name=Anqing, country=China, district=Anhui, population=250718}
City{name=Sunchon, country=South Korea, district=Chollanam, population=249263}
City{name=Mokpo, country=South Korea, district=Chollanam, population=247452}
City{name=Shaoyang, country=China, district=Hunan, population=247227}
City{name=Laiwu, country=China, district=Shandong, population=246833}
City{name=Chengde, country=China, district=Hebei, population=246799}
City{name=Mito, country=Japan, district=Ibaragi, population=246559}
City{name=Tianshui, country=China, district=Gansu, population=244974}
City{name=Sasebo, country=Japan, district=Nagasaki, population=244240}
City{name=Nanyang, country=China, district=Henan, population=243303}
City{name=Hachinohe, country=Japan, district=Aomori, population=242979}
City{name=Cangzhou, country=China, district=Hebei, population=242708}
City{name=Yong-in, country=South Korea, district=Kyonggi, population=242643}
City{name=Yibin, country=China, district=Sichuan, population=241019}
City{name=Huaiyin, country=China, district=Jiangsu, population=239675}
City{name=Takasaki, country=Japan, district=Gumma, population=239124}
City{name=Shimizu, country=Japan, district=Shizuoka, population=239123}
City{name=Wonju, country=South Korea, district=Kang-won, population=237460}
City{name=Kurume, country=Japan, district=Fukuoka, population=235611}
City{name=Kunpo, country=South Korea, district=Kyonggi, population=235233}
City{name=Dunhua, country=China, district=Jilin, population=235100}
City{name=Chunchon, country=South Korea, district=Kang-won, population=234528}
City{name=Fuji, country=Japan, district=Shizuoka, population=231527}
City{name=Yanji, country=China, district=Jilin, population=230892}
City{name=Jiangmen, country=China, district=Guangdong, population=230587}
City{name=Haeju, country=North Korea, district=Hwanghae N, population=229172}
City{name=Namyangju, country=South Korea, district=Kyonggi, population=229060}
City{name=Tongling, country=China, district=Anhui, population=228017}
City{name=Suihua, country=China, district=Heilongjiang, population=227881}
City{name=Changhwa, country=Taiwan, district=Changhwa, population=227715}
City{name=Yungho, country=Taiwan, district=Taipei, population=227700}
City{name=Gongziling, country=China, district=Jilin, population=226569}
City{name=Tucheng, country=Taiwan, district=Taipei, population=224897}
City{name=Kanggye, country=North Korea, district=Chagang, population=223410}
City{name=Xiantao, country=China, district=Hubei, population=222884}
City{name=Soka, country=Japan, district=Saitama, population=222768}
City{name=Chaoyang, country=China, district=Liaoning, population=222394}
City{name=Fuchu, country=Japan, district=Tokyo-to, population=220576}
City{name=Kangnung, country=South Korea, district=Kang-won, population=220403}
City{name=Ganzhou, country=China, district=Jiangxi, population=220129}
City{name=Huzhou, country=China, district=Zhejiang, population=218071}
City{name=Baicheng, country=China, district=Jilin, population=217987}
City{name=Chigasaki, country=Japan, district=Kanagawa, population=216015}
City{name=Shangzi, country=China, district=Heilongjiang, population=215373}
City{name=Yangjiang, country=China, district=Guangdong, population=215196}
City{name=Qitaihe, country=China, district=Heilongjiang, population=214957}
City{name=Pingtung, country=Taiwan, district=Pingtung, population=214727}
City{name=Gejiu, country=China, district=Yunnan, population=214294}
City{name=Jiangyin, country=China, district=Jiangsu, population=213659}
City{name=Hebi, country=China, district=Henan, population=212976}
City{name=Atsugi, country=Japan, district=Kanagawa, population=212407}
City{name=Jiaxing, country=China, district=Zhejiang, population=211526}
City{name=Numazu, country=Japan, district=Shizuoka, population=211382}
City{name=Wuzhou, country=China, district=Guangxi, population=210452}
City{name=Ageo, country=Japan, district=Saitama, population=209442}
City{name=Meihekou, country=China, district=Jilin, population=209038}
City{name=Xuchang, country=China, district=Henan, population=208815}
City{name=Yamato, country=Japan, district=Kanagawa, population=208234}
City{name=Liaocheng, country=China, district=Shandong, population=207844}
City{name=Matsumoto, country=Japan, district=Nagano, population=206801}
City{name=Kure, country=Japan, district=Hiroshima, population=206504}
City{name=Takarazuka, country=Japan, district=Hyogo, population=205993}
City{name=Haicheng, country=China, district=Liaoning, population=205560}
City{name=Qianjiang, country=China, district=Hubei, population=205504}
City{name=Chungju, country=South Korea, district=Chungchongbuk, population=205206}
City{name=Baiyin, country=China, district=Gansu, population=204970}
City{name=Bei´an, country=China, district=Heilongjiang, population=204899}
City{name=Kasukabe, country=Japan, district=Saitama, population=201838}
City{name=Chofu, country=Japan, district=Tokyo-to, population=201585}
City{name=Yixing, country=China, district=Jiangsu, population=200824}
City{name=Odawara, country=Japan, district=Kanagawa, population=200171}
City{name=Kofu, country=Japan, district=Yamanashi, population=199753}
City{name=Laizhou, country=China, district=Shandong, population=198664}
City{name=Kushiro, country=Japan, district=Hokkaido, population=197608}
City{name=Qaramay, country=China, district=Xinxiang, population=197602}
City{name=Acheng, country=China, district=Heilongjiang, population=197595}
City{name=Kishiwada, country=Japan, district=Osaka, population=197276}
City{name=Hitachi, country=Japan, district=Ibaragi, population=196622}
City{name=Dezhou, country=China, district=Shandong, population=195485}
City{name=Nanping, country=China, district=Fujian, population=195064}
City{name=Zhaoqing, country=China, district=Guangdong, population=194784}
City{name=Beipiao, country=China, district=Liaoning, population=194301}
City{name=Fengcheng, country=China, district=Jiangxi, population=193784}
City{name=Yungkang, country=Taiwan, district=Tainan, population=193005}
City{name=Fuyu, country=China, district=Jilin, population=192981}
City{name=Xinyang, country=China, district=Henan, population=192509}
City{name=Nagaoka, country=Japan, district=Niigata, population=192407}
City{name=Dongtai, country=China, district=Jiangsu, population=192247}
City{name=Yuci, country=China, district=Shanxi, population=191356}
City{name=Itami, country=Japan, district=Hyogo, population=190886}
City{name=Honghu, country=China, district=Hubei, population=190772}
City{name=Ezhou, country=China, district=Hubei, population=190123}
City{name=Heze, country=China, district=Shandong, population=189293}
City{name=Uji, country=Japan, district=Kyoto, population=188735}
City{name=Andong, country=South Korea, district=Kyongsangbuk, population=188443}
City{name=Pingchen, country=Taiwan, district=Taoyuan, population=188344}
City{name=Daxian, country=China, district=Sichuan, population=188101}
City{name=Linfen, country=China, district=Shanxi, population=187309}
City{name=Tianmen, country=China, district=Hubei, population=186332}
City{name=Yiyang, country=China, district=Hunan, population=185818}
City{name=Quanzhou, country=China, district=Fujian, population=185154}
City{name=Rizhao, country=China, district=Shandong, population=185048}
City{name=Suzuka, country=Japan, district=Mie, population=184061}
City{name=Yosu, country=South Korea, district=Chollanam, population=183596}
City{name=Deyang, country=China, district=Sichuan, population=182488}
City{name=Guangyuan, country=China, district=Sichuan, population=182241}
City{name=Changshu, country=China, district=Jiangsu, population=181805}
City{name=Zhangzhou, country=China, district=Fujian, population=181424}
City{name=Hailar, country=China, district=Inner Mongolia, population=180650}
City{name=Nanchong, country=China, district=Sichuan, population=180273}
City{name=Jiutai, country=China, district=Jilin, population=180130}
City{name=Zhaodong, country=China, district=Heilongjiang, population=179976}
City{name=Shaoxing, country=China, district=Zhejiang, population=179818}
City{name=Fuyang, country=China, district=Anhui, population=179572}
City{name=Kimchaek, country=North Korea, district=Hamgyong P, population=179000}
City{name=Maoming, country=China, district=Guangdong, population=178683}
City{name=Qujing, country=China, district=Yunnan, population=178669}
City{name=Hyesan, country=North Korea, district=Yanggang, population=178020}
City{name=Hirosaki, country=Japan, district=Aomori, population=177522}
City{name=Ghulja, country=China, district=Xinxiang, population=177193}
City{name=Jiaohe, country=China, district=Jilin, population=176367}
City{name=Puyang, country=China, district=Henan, population=175988}
City{name=Huadian, country=China, district=Jilin, population=175873}
City{name=Jiangyou, country=China, district=Sichuan, population=175753}
City{name=Ube, country=Japan, district=Yamaguchi, population=175206}
City{name=Kodaira, country=Japan, district=Tokyo-to, population=174984}
City{name=Qashqar, country=China, district=Xinxiang, population=174570}
City{name=Takaoka, country=Japan, district=Toyama, population=174380}
City{name=Anshun, country=China, district=Guizhou, population=174142}
City{name=Fuling, country=China, district=Sichuan, population=173878}
City{name=Kyongsan, country=South Korea, district=Kyongsangbuk, population=173746}
City{name=Obihiro, country=Japan, district=Hokkaido, population=173685}
City{name=Xinyu, country=China, district=Jiangxi, population=173524}
City{name=Tomakomai, country=Japan, district=Hokkaido, population=171958}
City{name=Tali, country=Taiwan, district=Taichung, population=171940}
City{name=Kaesong, country=North Korea, district=Kaesong-si, population=171500}
City{name=Saga, country=Japan, district=Saga, population=170034}
City{name=Hanzhong, country=China, district=Shaanxi, population=169930}
City{name=Danyang, country=China, district=Jiangsu, population=169603}
City{name=Chenzhou, country=China, district=Hunan, population=169400}
City{name=Sakura, country=Japan, district=Chiba, population=168072}
City{name=Kamakura, country=Japan, district=Kanagawa, population=167661}
City{name=Mitaka, country=Japan, district=Tokyo-to, population=167268}
City{name=Izumi, country=Japan, district=Osaka, population=166979}
City{name=Hino, country=Japan, district=Tokyo-to, population=166770}
City{name=Hadano, country=Japan, district=Kanagawa, population=166512}
City{name=Xiaogan, country=China, district=Hubei, population=166280}
City{name=Taiping, country=Taiwan, district=, population=165524}
City{name=Ashikaga, country=Japan, district=Tochigi, population=165243}
City{name=Shangqiu, country=China, district=Henan, population=164880}
City{name=Zhuhai, country=China, district=Guangdong, population=164747}
City{name=Qingyuan, country=China, district=Guangdong, population=164641}
City{name=Tsu, country=Japan, district=Mie, population=164543}
City{name=Aqsu, country=China, district=Xinxiang, population=164092}
City{name=Jining, country=China, district=Inner Mongolia, population=163552}
City{name=Paju, country=South Korea, district=Kyonggi, population=163379}
City{name=Yangsan, country=South Korea, district=Kyongsangnam, population=163351}
City{name=Xiaoshan, country=China, district=Zhejiang, population=162930}
City{name=Sayama, country=Japan, district=Saitama, population=162472}
City{name=Zaoyang, country=China, district=Hubei, population=162198}
City{name=Xinghua, country=China, district=Jiangsu, population=161910}
City{name=Pate, country=Taiwan, district=Taoyuan, population=161700}
City{name=Hami, country=China, district=Xinxiang, population=161315}
City{name=Yachiyo, country=Japan, district=Chiba, population=161222}
City{name=Fengyuan, country=Taiwan, district=Taichung, population=161032}
City{name=Huizhou, country=China, district=Guangdong, population=161023}
City{name=Jinmen, country=China, district=Hubei, population=160794}
City{name=Tsukuba, country=Japan, district=Ibaragi, population=160768}
City{name=Sanming, country=China, district=Fujian, population=160691}
City{name=Luchou, country=Taiwan, district=Taipei, population=160516}
City{name=Ulanhot, country=China, district=Inner Mongolia, population=159538}
City{name=Tachikawa, country=Japan, district=Tokyo-to, population=159430}
City{name=Korla, country=China, district=Xinxiang, population=159344}
City{name=Kumagaya, country=Japan, district=Saitama, population=157171}
City{name=Wanxian, country=China, district=Sichuan, population=156823}
City{name=Rui´an, country=China, district=Zhejiang, population=156468}
City{name=Zhoushan, country=China, district=Zhejiang, population=156317}
City{name=Liangcheng, country=China, district=Shandong, population=156307}
City{name=Moriguchi, country=Japan, district=Osaka, population=155941}
City{name=Otaru, country=Japan, district=Hokkaido, population=155784}
City{name=Ichon, country=South Korea, district=Kyonggi, population=155332}
City{name=Hsichuh, country=Taiwan, district=Taipei, population=154976}
City{name=Asan, country=South Korea, district=Chungchongnam, population=154663}
City{name=Anjo, country=Japan, district=Aichi, population=153823}
City{name=Jiaozhou, country=China, district=Shandong, population=153364}
City{name=Narashino, country=Japan, district=Chiba, population=152849}
City{name=Oyama, country=Japan, district=Tochigi, population=152820}
City{name=Taizhou, country=China, district=Jiangsu, population=152442}
City{name=Suzhou, country=China, district=Anhui, population=151862}
City{name=Ogaki, country=Japan, district=Gifu, population=151758}
City{name=Yichun, country=China, district=Jiangxi, population=151585}
