City{name=Ajman, country=United Arab Emirates, district=Ajman, population=114395}
City{name=Jabaliya, country=Palestine, district=North Gaza, population=113901}
City{name=Abha, country=Saudi Arabia, district=Asir, population=112300}
City{name=Kiziltepe, country=Turkey, district=Mardin, population=112000}
City{name=Sohumi, country=Georgia, district=Abhasia [Aphazeti], population=111700}
City{name=Zonguldak, country=Turkey, district=Zonguldak, population=111542}
City{name=Ara´ar, country=Saudi Arabia, district=al-Khudud al-Samaliy, population=108100}
City{name=al-Raqqa, country=Syria, district=al-Raqqa, population=108020}
City{name=Bawshar, country=Oman, district=Masqat, population=107500}
City{name=Siirt, country=Turkey, district=Siirt, population=107100}
City{name=Viransehir, country=Turkey, district=Sanliurfa, population=106400}
City{name=Tekirdag, country=Turkey, district=Tekirdag, population=106077}
City{name=Karaman, country=Turkey, district=Karaman, population=104200}
City{name=Afyon, country=Turkey, district=Afyon, population=103984}
City{name=Ibb, country=Yemen, district=Ibb, population=103300}
City{name=Aksaray, country=Turkey, district=Aksaray, population=102681}
City{name=Ceyhan, country=Turkey, district=Adana, population=102412}
City{name=Erzincan, country=Turkey, district=Erzincan, population=102304}
City{name=Jalib al-Shuyukh, country=Kuwait, district=Hawalli, population=102178}
City{name=Bismil, country=Turkey, district=Diyarbakir, population=101400}
City{name=Nablus, country=Palestine, district=Nablus, population=100231}
City{name=Nazilli, country=Turkey, district=Aydin, population=99900}
City{name=Tokat, country=Turkey, district=Tokat, population=99500}
City{name=al-Qatif, country=Saudi Arabia, district=al-Sharqiya, population=98900}
City{name=Mingäçevir, country=Azerbaijan, district=Mingäçevir, population=93900}
City{name=al-Hawiya, country=Saudi Arabia, district=Mekka, population=93900}
City{name=Kars, country=Turkey, district=Kars, population=93000}
City{name=Ashqelon, country=Israel, district=Ha Darom, population=92300}
City{name=Rafah, country=Palestine, district=Rafah, population=92020}
City{name=Unayza, country=Saudi Arabia, district=Qasim, population=91100}
City{name=Idlib, country=Syria, district=Idlib, population=91081}
City{name=Najran, country=Saudi Arabia, district=Najran, population=91000}
City{name=Suhar, country=Oman, district=al-Batina, population=90814}
City{name=Inegöl, country=Turkey, district=Bursa, population=90500}
City{name=Rehovot, country=Israel, district=Ha Merkaz, population=90300}
City{name=Bandirma, country=Turkey, district=Balikesir, population=90200}
City{name=Wadi al-Sir, country=Jordan, district=Amman, population=89104}
City{name=Masqat, country=Oman, district=Masqat, population=51969}
City{name=Kuwait, country=Kuwait, district=al-Asima, population=28859}
