City{name=Zlatoust, country=Russian Federation, district=Tšeljabinsk, population=196900}
City{name=Jakutsk, country=Russian Federation, district=Saha (Jakutia), population=195400}
City{name=Burgas, country=Bulgaria, district=Burgas, population=195255}
City{name=Tiraspol, country=Moldova, district=Dnjestria, population=194300}
City{name=Podolsk, country=Russian Federation, district=Moskova, population=194300}
City{name=Petropavlovsk-Kamtšatski, country=Russian Federation, district=Kamtšatka, population=194100}
City{name=Kamensk-Uralski, country=Russian Federation, district=Sverdlovsk, population=190600}
City{name=Engels, country=Russian Federation, district=Saratov, population=189000}
City{name=Pitesti, country=Romania, district=Arges, population=187170}
City{name=Syzran, country=Russian Federation, district=Samara, population=186900}
City{name=Kramatorsk, country=Ukraine, district=Donetsk, population=186000}
City{name=Grozny, country=Russian Federation, district=Tšetšenia, population=186000}
City{name=Arad, country=Romania, district=Arad, population=184408}
City{name=Novotšerkassk, country=Russian Federation, district=Rostov-na-Donu, population=184400}
City{name=Berezniki, country=Russian Federation, district=Perm, population=181900}
City{name=Bielsko-Biala, country=Poland, district=Slaskie, population=180307}
City{name=Juzno-Sahalinsk, country=Russian Federation, district=Sahalin, population=179200}
City{name=Volgodonsk, country=Russian Federation, district=Rostov-na-Donu, population=178200}
City{name=Miskolc, country=Hungary, district=Borsod-Abaúj-Zemplén, population=172357}
City{name=Olsztyn, country=Poland, district=Warminsko-Mazurskie, population=170904}
City{name=Sibiu, country=Romania, district=Sibiu, population=169611}
City{name=Abakan, country=Russian Federation, district=Hakassia, population=169200}
City{name=Melitopol, country=Ukraine, district=Zaporizzja, population=169000}
City{name=Maikop, country=Russian Federation, district=Adygea, population=167300}
City{name=Baranovitši, country=Belarus, district=Brest, population=167000}
City{name=Plzen, country=Czech Republic, district=Zapadní Cechy, population=166759}
City{name=Ruse, country=Bulgaria, district=Ruse, population=166467}
City{name=Miass, country=Russian Federation, district=Tšeljabinsk, population=166200}
City{name=Târgu Mures, country=Romania, district=Mures, population=165153}
City{name=Armavir, country=Russian Federation, district=Krasnodar, population=164900}
City{name=Ljubertsy, country=Russian Federation, district=Moskova, population=163900}
City{name=Rubtsovsk, country=Russian Federation, district=Altai, population=162600}
City{name=Rzeszów, country=Poland, district=Podkarpackie, population=162049}
City{name=Kertš, country=Ukraine, district=Krim, population=162000}
City{name=Kovrov, country=Russian Federation, district=Vladimir, population=159900}
City{name=Ruda Slaska, country=Poland, district=Slaskie, population=159665}
City{name=Szeged, country=Hungary, district=Csongrád, population=158158}
City{name=Nahodka, country=Russian Federation, district=Primorje, population=157700}
City{name=Pécs, country=Hungary, district=Baranya, population=157332}
City{name=Ussurijsk, country=Russian Federation, district=Primorje, population=157300}
City{name=Salavat, country=Russian Federation, district=Baškortostan, population=156800}
City{name=Mytištši, country=Russian Federation, district=Moskova, population=155700}
City{name=Balti, country=Moldova, district=Balti, population=153400}
City{name=Borisov, country=Belarus, district=Minsk, population=151000}
City{name=Kolomna, country=Russian Federation, district=Moskova, population=150700}
City{name=Baia Mare, country=Romania, district=Maramures, population=149665}
City{name=Nikopol, country=Ukraine, district=Dnipropetrovsk, population=149000}
City{name=Buzau, country=Romania, district=Buzau, population=148372}
City{name=Stara Zagora, country=Bulgaria, district=Haskovo, population=147939}
City{name=Elektrostal, country=Russian Federation, district=Moskova, population=147000}
City{name=Rybnik, country=Poland, district=Slaskie, population=144582}
City{name=Murom, country=Russian Federation, district=Vladimir, population=142400}
City{name=Kolpino, country=Russian Federation, district=Pietari, population=141200}
