City{name=Fürth, country=Germany, district=Baijeri, population=109771}
City{name=Siegen, country=Germany, district=Nordrhein-Westfalen, population=109225}
City{name=Koblenz, country=Germany, district=Rheinland-Pfalz, population=108003}
City{name=Moers, country=Germany, district=Nordrhein-Westfalen, population=106837}
City{name=Rouen, country=France, district=Haute-Normandie, population=106592}
City{name=Boulogne-Billancourt, country=France, district=Île-de-France, population=106367}
City{name=Bergisch Gladbach, country=Germany, district=Nordrhein-Westfalen, population=106150}
City{name=Emmen, country=Netherlands, district=Drenthe, population=105853}
City{name=Zwolle, country=Netherlands, district=Overijssel, population=105819}
City{name=Schaerbeek, country=Belgium, district=Bryssel, population=105692}
City{name=Namur, country=Belgium, district=Namur, population=105419}
City{name=Perpignan, country=France, district=Languedoc-Roussillon, population=105115}
City{name=Zwickau, country=Germany, district=Saksi, population=104146}
City{name=Hildesheim, country=Germany, district=Niedersachsen, population=104013}
City{name=Nancy, country=France, district=Lorraine, population=103605}
City{name=Witten, country=Germany, district=Nordrhein-Westfalen, population=103384}
City{name=Schwerin, country=Germany, district=Mecklenburg-Vorpomme, population=102878}
City{name=Ede, country=Netherlands, district=Gelderland, population=101574}
City{name=Erlangen, country=Germany, district=Baijeri, population=100750}
City{name=Kaiserslautern, country=Germany, district=Rheinland-Pfalz, population=100025}
City{name=Trier, country=Germany, district=Rheinland-Pfalz, population=99891}
City{name=Jena, country=Germany, district=Thüringen, population=99779}
City{name=Iserlohn, country=Germany, district=Nordrhein-Westfalen, population=99474}
City{name=Roubaix, country=France, district=Nord-Pas-de-Calais, population=96984}
City{name=Delft, country=Netherlands, district=Zuid-Holland, population=95268}
City{name=Heerlen, country=Netherlands, district=Limburg, population=95052}
City{name=Gütersloh, country=Germany, district=Nordrhein-Westfalen, population=95028}
City{name=Argenteuil, country=France, district=Île-de-France, population=93961}
City{name=Marl, country=Germany, district=Nordrhein-Westfalen, population=93735}
City{name=Tourcoing, country=France, district=Nord-Pas-de-Calais, population=93540}
City{name=Alkmaar, country=Netherlands, district=Noord-Holland, population=92713}
City{name=Lünen, country=Germany, district=Nordrhein-Westfalen, population=92044}
City{name=Klagenfurt, country=Austria, district=Kärnten, population=91141}
City{name=Düren, country=Germany, district=Nordrhein-Westfalen, population=91092}
City{name=Ratingen, country=Germany, district=Nordrhein-Westfalen, population=90951}
City{name=Mons, country=Belgium, district=Hainaut, population=90935}
City{name=Montreuil, country=France, district=Île-de-France, population=90674}
City{name=Velbert, country=Germany, district=Nordrhein-Westfalen, population=89881}
City{name=Esslingen am Neckar, country=Germany, district=Baden-Württemberg, population=89667}
City{name=Luxembourg [Luxemburg/Lëtzebuerg], country=Luxembourg, district=Luxembourg, population=80700}
City{name=Monte-Carlo, country=Monaco, district=–, population=13154}
City{name=Schaan, country=Liechtenstein, district=Schaan, population=5346}
City{name=Vaduz, country=Liechtenstein, district=Vaduz, population=5043}
City{name=Monaco-Ville, country=Monaco, district=–, population=1234}
