City{name=Ilagan, country=Philippines, district=Cagayan Valley, population=119990}
City{name=Baliuag, country=Philippines, district=Central Luzon, population=119675}
City{name=Surigao, country=Philippines, district=Caraga, population=118534}
City{name=San Carlos, country=Philippines, district=Western Visayas, population=118259}
City{name=San Juan del Monte, country=Philippines, district=National Capital Reg, population=117680}
City{name=Tanauan, country=Philippines, district=Southern Tagalog, population=117539}
City{name=Cilegon, country=Indonesia, district=West Java, population=117000}
City{name=Ubon Ratchathani, country=Thailand, district=Ubon Ratchathani, population=116300}
City{name=Concepcion, country=Philippines, district=Central Luzon, population=115171}
City{name=Rodriguez (Montalban), country=Philippines, district=Southern Tagalog, population=115167}
City{name=Sungai Petani, country=Malaysia, district=Kedah, population=114763}
City{name=Sariaya, country=Philippines, district=Southern Tagalog, population=114568}
City{name=Cianjur, country=Indonesia, district=West Java, population=114300}
City{name=Phan Thiêt, country=Vietnam, district=Binh Thuan, population=114236}
City{name=Cam Ranh, country=Vietnam, district=Khanh Hoa, population=114041}
City{name=Malasiqui, country=Philippines, district=Ilocos, population=113190}
City{name=Vinh, country=Vietnam, district=Nghe An, population=112455}
City{name=General Mariano Alvarez, country=Philippines, district=Southern Tagalog, population=112446}
City{name=Urdaneta, country=Philippines, district=Ilocos, population=111582}
City{name=Ciparay, country=Indonesia, district=West Java, population=111500}
City{name=Hagonoy, country=Philippines, district=Central Luzon, population=111425}
City{name=San Jose, country=Philippines, district=Southern Tagalog, population=111009}
City{name=Polomolok, country=Philippines, district=Southern Mindanao, population=110709}
City{name=Santiago, country=Philippines, district=Cagayan Valley, population=110531}
City{name=Tanza, country=Philippines, district=Southern Tagalog, population=110517}
City{name=Ozamis, country=Philippines, district=Northern Mindanao, population=110420}
City{name=Lhokseumawe, country=Indonesia, district=Aceh, population=109600}
City{name=Mexico, country=Philippines, district=Central Luzon, population=109481}
City{name=My Tho, country=Vietnam, district=Tien Giang, population=108404}
City{name=San Jose, country=Philippines, district=Central Luzon, population=108254}
City{name=Silay, country=Philippines, district=Western Visayas, population=107722}
