City{name=Muzaffarnagar, country=India, district=Uttar Pradesh, population=240609}
City{name=Patiala, country=India, district=Punjab, population=238368}
City{name=Shahjahanpur, country=India, district=Uttar Pradesh, population=237713}
City{name=Qandahar, country=Afghanistan, district=Qandahar, population=237500}
City{name=Buhoro, country=Uzbekistan, district=Buhoro, population=237100}
City{name=Kurnool, country=India, district=Andhra Pradesh, population=236800}
City{name=Tiruppur (Tirupper), country=India, district=Tamil Nadu, population=235661}
City{name=Rohtak, country=India, district=Haryana, population=233400}
City{name=South Dum Dum, country=India, district=West Bengali, population=232811}
City{name=Rahim Yar Khan, country=Pakistan, district=Punjab, population=228479}
City{name=Mathura, country=India, district=Uttar Pradesh, population=226691}
City{name=Chandrapur, country=India, district=Maharashtra, population=226105}
City{name=Barahanagar (Baranagar), country=India, district=West Bengali, population=224821}
City{name=Osh, country=Kyrgyzstan, district=Osh, population=222700}
City{name=Qostanay, country=Kazakstan, district=Qostanay, population=221400}
City{name=Darbhanga, country=India, district=Bihar, population=218391}
City{name=Borujerd, country=Iran, district=Lorestan, population=217804}
City{name=Siliguri (Shiliguri), country=India, district=West Bengali, population=216950}
City{name=Raurkela, country=India, district=Orissa, population=215489}
City{name=Ambattur, country=India, district=Tamil Nadu, population=215424}
City{name=Panipat, country=India, district=Haryana, population=215218}
City{name=Firozabad, country=India, district=Uttar Pradesh, population=215128}
City{name=Ichalkaranji, country=India, district=Maharashtra, population=214950}
City{name=Jammu, country=India, district=Jammu and Kashmir, population=214737}
City{name=Ramagundam, country=India, district=Andhra Pradesh, population=214384}
City{name=Eluru, country=India, district=Andhra Pradesh, population=212866}
City{name=Brahmapur, country=India, district=Orissa, population=210418}
City{name=Sahiwal, country=Pakistan, district=Punjab, population=207388}
City{name=Abadan, country=Iran, district=Khuzestan, population=206073}
City{name=Alwar, country=India, district=Rajasthan, population=205086}
City{name=Petropavl, country=Kazakstan, district=North Kazakstan, population=203500}
City{name=Pondicherry, country=India, district=Pondicherry, population=203065}
City{name=Dehiwala, country=Sri Lanka, district=Western, population=203000}
City{name=Dezful, country=Iran, district=Khuzestan, population=202639}
City{name=Narayanganj, country=Bangladesh, district=Dhaka, population=202134}
City{name=Thanjavur, country=India, district=Tamil Nadu, population=202013}
City{name=Kashan, country=Iran, district=Esfahan, population=201372}
City{name=Bihar Sharif, country=India, district=Bihar, population=201323}
City{name=Okara, country=Pakistan, district=Punjab, population=200901}
City{name=Tuticorin, country=India, district=Tamil Nadu, population=199854}
City{name=Imphal, country=India, district=Manipur, population=198535}
City{name=Wah, country=Pakistan, district=Punjab, population=198400}
City{name=Latur, country=India, district=Maharashtra, population=197408}
City{name=Sari, country=Iran, district=Mazandaran, population=195882}
City{name=Oral, country=Kazakstan, district=West Kazakstan, population=195500}
City{name=Sagar, country=India, district=Madhya Pradesh, population=195346}
City{name=Farrukhabad-cum-Fatehgarh, country=India, district=Uttar Pradesh, population=194567}
City{name=Karsi, country=Uzbekistan, district=Qashqadaryo, population=194100}
City{name=Nukus, country=Uzbekistan, district=Karakalpakistan, population=194100}
City{name=Sangli, country=India, district=Maharashtra, population=193197}
City{name=Rangpur, country=Bangladesh, district=Rajshahi, population=191398}
City{name=Parbhani, country=India, district=Maharashtra, population=190255}
City{name=Kükon, country=Uzbekistan, district=Fargona, population=190100}
City{name=Nagar Coil, country=India, district=Tamil Nadu, population=190084}
City{name=Moratuwa, country=Sri Lanka, district=Western, population=190000}
City{name=Chärjew, country=Turkmenistan, district=Lebap, population=189200}
City{name=Mymensingh, country=Bangladesh, district=Dhaka, population=188713}
City{name=Gorgan, country=Iran, district=Golestan, population=188710}
City{name=Dera Ghazi Khan, country=Pakistan, district=Punjab, population=188100}
City{name=Bijapur, country=India, district=Karnataka, population=186939}
City{name=Herat, country=Afghanistan, district=Herat, population=186800}
City{name=Kukatpalle, country=India, district=Andhra Pradesh, population=185378}
City{name=Mirpur Khas, country=Pakistan, district=Sind, population=184500}
City{name=Bally, country=India, district=West Bengali, population=184474}
City{name=Bhilwara, country=India, district=Rajasthan, population=183965}
City{name=Ratlam, country=India, district=Madhya Pradesh, population=183375}
City{name=Avadi, country=India, district=Tamil Nadu, population=183215}
City{name=Nawabshah, country=Pakistan, district=Sind, population=183100}
City{name=Dindigul, country=India, district=Tamil Nadu, population=182477}
City{name=Ahmadnagar, country=India, district=Maharashtra, population=181339}
City{name=Fargona, country=Uzbekistan, district=Fargona, population=180500}
City{name=Bilaspur, country=India, district=Chhatisgarh, population=179833}
City{name=Shimoga, country=India, district=Karnataka, population=179258}
City{name=Najafabad, country=Iran, district=Esfahan, population=178498}
City{name=Kharagpur, country=India, district=West Bengali, population=177989}
City{name=Mira Bhayandar, country=India, district=Maharashtra, population=175372}
City{name=Vellore, country=India, district=Tamil Nadu, population=175061}
City{name=Jalna, country=India, district=Maharashtra, population=174985}
City{name=Burnpur, country=India, district=West Bengali, population=174933}
City{name=Anantapur, country=India, district=Andhra Pradesh, population=174924}
City{name=Allappuzha (Alleppey), country=India, district=Kerala, population=174666}
City{name=Mingora, country=Pakistan, district=Nothwest Border Prov, population=174500}
City{name=Tirupati, country=India, district=Andhra Pradesh, population=174369}
City{name=Karnal, country=India, district=Haryana, population=173751}
City{name=Burhanpur, country=India, district=Madhya Pradesh, population=172710}
